"stateFIPS","State","countyFIPS","County","Year","Value","Data Comment","Status","PWS ID","CWS Name","Population Served","Contaminant"
"08","Colorado","08041","El Paso","2013-2015","90.0","","Detected" (2),"CO0121775","SECURITY WSD","19000","PFOA"
"08","Colorado","08041","El Paso","2013-2015","210.0","","Detected" (2),"CO0121900","WIDEFIELD WSD","18343","PFOS"
"08","Colorado","08041","El Paso","2013-2015","48.0","","Detected" (2),"CO0121900","WIDEFIELD WSD","18343","PFOA"
"10","Delaware","10003","New Castle","2013-2015","1,800.0","","Detected" (2),"DE0000552","Artesian Water Company","211494","PFOS"
"10","Delaware","10003","New Castle","2013-2015","140.0","","Detected" (2),"DE0000552","Artesian Water Company","211494","PFOA"
"10","Delaware","10003","New Castle","2013-2015","49.9","","Detected" (2),"DE0000564","United Water Delaware","97310","PFOA"
"12","Florida","12011","Broward","2013-2015","49.0","","Detected" (2),"FL4060787","LAUDERHILL  CITY OF","55000","PFOS"
"12","Florida","12011","Broward","2013-2015","47.0","","Detected" (2),"FL4060925","MIRAMAR (EAST and WEST) PLANTS","128729","PFOS"
"12","Florida","12011","Broward","2013-2015","21.0","","Detected" (2),"FL4060925","MIRAMAR (EAST and WEST) PLANTS","128729","PFOA"
"12","Florida","12033","Escambia","2013-2015","380.0","","Detected" (2),"FL1170525","EMERALD COAST UTILITIES AUTHORITY","249872","PFOS"
"12","Florida","12033","Escambia","2013-2015","65.0","","Detected" (2),"FL1170525","EMERALD COAST UTILITIES AUTHORITY","249872","PFOA"
"12","Florida","12083","Marion","2013-2015","51.0","","Detected" (2),"FL3420922","OCALA  CITY OF (2 WTPS)","50924","PFOS"
"12","Florida","12085","Martin","2013-2015","180.0","","Detected" (2),"FL4430259","STUART  CITY OF - WATER PLANT","19000","PFOS"
"12","Florida","12086","Miami-Dade","2013-2015","49.0","","Detected" (2),"FL4134357","FKAA J. ROBERT DEAN  W.T.P.","86000","PFOS"
"12","Florida","12086","Miami-Dade","2013-2015","43.0","","Detected" (2),"FL4130871","MDWASA - MAIN SYSTEM","2100000","PFOS"
"12","Florida","12086","Miami-Dade","2013-2015","58.0","","Detected" (2),"FL4130901","MIAMI BEACH  CITY OF","87933","PFOS"
"12","Florida","12086","Miami-Dade","2013-2015","47.0","","Detected" (2),"FL4134513","Miami International Airport","30000","PFOS"
"12","Florida","12086","Miami-Dade","2013-2015","50.0","","Detected" (2),"FL4130977","NORTH MIAMI  CITY OF","80000","PFOS"
"12","Florida","12101","Pasco","2013-2015","160.0","","Detected" (2),"FL6512020","ZEPHYRHILLS CITY OF","21823","PFOS"
"12","Florida","12131","Walton","2013-2015","40.0","","Detected" (2),"FL1660196","DEFUNIAK SPRINGS W/S  CITY OF","17094","PFOS"
"13","Georgia","13055","Chattooga","2013-2015","30.0","","Detected" (2),"GA0550003","Summerville","11651","PFOA"
"13","Georgia","13115","Floyd","2013-2015","120.0","","Detected" (2),"GA1150002","Rome","45586","PFOS"
"13","Georgia","13115","Floyd","2013-2015","70.0","","Detected" (2),"GA1150002","Rome","45586","PFOA"
"13","Georgia","13129","Gordon","2013-2015","40.0","","Detected" (2),"GA1290000","Calhoun","49088","PFOA"
"13","Georgia","13213","Murray","2013-2015","63.0","","Detected" (2),"GA2130000","Chatsworth","29617","PFOS"
"13","Georgia","13213","Murray","2013-2015","23.6","","Detected" (2),"GA2130000","Chatsworth","29617","PFOA"
"17","Illinois","17095","Knox","2013-2015","23.4","","Detected" (2),"IL0950200","Galesburg","31745","PFOA"
"17","Illinois","17113","McLean","2013-2015","40.0","","Detected" (2),"IL1130200","Bloomington","77610","PFOA"
"17","Illinois","17177","Stephenson","2013-2015","180.0","","Detected" (2),"IL1770200","Freeport","26443","PFOS"
"17","Illinois","17177","Stephenson","2013-2015","59.0","","Detected" (2),"IL1770200","Freeport","26443","PFOA"
"18","Indiana","18089","Lake","2013-2015","78.3","","Detected" (2),"IN5245011","Dyer Water Department","16277","PFOS"
"21","Kentucky","21111","Jefferson","2013-2015","20.0","","Detected" (2),"KY0560258","LOUISVILLE WATER COMPANY","764769","PFOA"
"21","Kentucky","21191","Pendleton","2013-2015","58.5","","Detected" (2),"KY0960499","PENDLETON CO WATER DISTRICT #1/SOUTH","3713","PFOS"
"23","Maine","23031","York","2013-2015","50.0","","Detected" (2),"ME0090760","KENNEBUNK, KENNEBUNKPORT & WELLS WD","31440","PFOS"
"23","Maine","23031","York","2013-2015","290.0","","Detected" (2),"ME0091410","SANFORD WATER DISTRICT","14025","PFOS"
"24","Maryland","24025","Harford","2013-2015","21.2","","Detected" (2),"MD0120016","HARFORD COUNTY D.P.W.","104567","PFOA"
"25","Massachusetts","25001","Barnstable","2013-2015","430.0","","Detected" (2),"MA4020004","HYANNIS WATER SYSTEM, TOWN OF BARNSTABLE","18000","PFOS"
"25","Massachusetts","25001","Barnstable","2013-2015","62.0","","Detected" (2),"MA4020004","HYANNIS WATER SYSTEM, TOWN OF BARNSTABLE","18000","PFOA"
"25","Massachusetts","25009","Essex","2013-2015","25.0","","Detected" (2),"MA3071000","DANVERS WATER DEPT.","26762","PFOA"
"25","Massachusetts","25013","Hampden","2013-2015","160.0","","Detected" (2),"MA1329000","WESTFIELD WATER DEPT","42000","PFOS"
"25","Massachusetts","25013","Hampden","2013-2015","43.0","","Detected" (2),"MA1329000","WESTFIELD WATER DEPT","42000","PFOA"
"25","Massachusetts","25017","Middlesex","2013-2015","50.0","","Detected" (2),"MA2141000","HUDSON WATER SUPPLY","18553","PFOA"
"26","Michigan","26081","Kent","2013-2015","60.0","","Detected" (2),"MI0005370","PLAINFIELD TOWNSHIP","40891","PFOS"
"26","Michigan","26161","Washtenaw","2013-2015","43.0","","Detected" (2),"MI0000220","ANN ARBOR","114000","PFOS"
"27","Minnesota","27007","Beltrami","2013-2015","133.0","","Detected" (2),"MN1040002","Bemidji","13560","PFOS"
"27","Minnesota","27037","Dakota","2013-2015","40.5","","Detected" (2),"MN1190012","Hastings","22335","PFOA"
"27","Minnesota","27163","Washington","2013-2015","27.8","","Detected" (2),"MN1820004","Cottage Grove","33930","PFOA"
"27","Minnesota","27163","Washington","2013-2015","439.0","","Detected" (2),"MN1820016","Oakdale","27378","PFOS"
"27","Minnesota","27163","Washington","2013-2015","338.0","","Detected" (2),"MN1820016","Oakdale","27378","PFOA"
"27","Minnesota","27163","Washington","2013-2015","37.3","","Detected" (2),"MN1820025","Woodbury","64350","PFOA"
"33","New Hampshire","33011","Hillsborough","2013-2015","42.0","","Detected" (2),"NH1531010","MERRIMACK VILLAGE DIST","25000","PFOA"
"33","New Hampshire","33017","Strafford","2013-2015","120.0","","Detected" (2),"NH0651010","DOVER WATER DEPT","28000","PFOS"
"33","New Hampshire","33017","Strafford","2013-2015","67.0","","Detected" (2),"NH0651010","DOVER WATER DEPT","28000","PFOA"
"34","New Jersey","34001","Atlantic","2013-2015","48.0","","Detected" (2),"NJ0102001","ATLANTIC CITY MUA","150000","PFOS"
"34","New Jersey","34001","Atlantic","2013-2015","43.0","","Detected" (2),"NJ0102001","ATLANTIC CITY MUA","150000","PFOA"
"34","New Jersey","34003","Bergen","2013-2015","66.0","","Detected" (2),"NJ0217001","FAIR LAWN WATER DEPT","32573","PFOS"
"34","New Jersey","34003","Bergen","2013-2015","36.8","","Detected" (2),"NJ0217001","FAIR LAWN WATER DEPT","32573","PFOA"
"34","New Jersey","34003","Bergen","2013-2015","31.0","","Detected" (2),"NJ0221001","GARFIELD WATER DEPARTMENT","29786","PFOA"
"34","New Jersey","34003","Bergen","2013-2015","98.0","","Detected" (2),"NJ0233001","MAHWAH WATER DEPARTMENT","24062","PFOS"
"34","New Jersey","34003","Bergen","2013-2015","58.0","","Detected" (2),"NJ0251001","RIDGEWOOD WATER","61700","PFOS"
"34","New Jersey","34003","Bergen","2013-2015","42.0","","Detected" (2),"NJ0251001","RIDGEWOOD WATER","61700","PFOA"
"34","New Jersey","34003","Bergen","2013-2015","22.0","","Detected" (2),"NJ0265001","WALLINGTON WATER DEPT","12000","PFOA"
"34","New Jersey","34007","Camden","2013-2015","26.0","","Detected" (2),"NJ0415002","AQUA NJ - BLACKWOOD","49190","PFOA"
"34","New Jersey","34013","Essex","2013-2015","48.5","","Detected" (2),"NJ0713001","MONTCLAIR WATER BUREAU","38977","PFOA"
"34","New Jersey","34013","Essex","2013-2015","21.0","","Detected" (2),"NJ0712001","NJ AMERICAN WATER - SHORT HILLS","217230","PFOA"
"34","New Jersey","34013","Essex","2013-2015","44.0","","Detected" (2),"NJ0717001","ORANGE WATER DEPT","33000","PFOA"
"34","New Jersey","34013","Essex","2013-2015","110.0","","Detected" (2),"NJ0719001","SOUTH ORANGE WATER DEPARTMENT","16924","PFOA"
"34","New Jersey","34013","Essex","2013-2015","28.8","","Detected" (2),"NJ0720001","VERONA WATER DEPARTMENT","13641","PFOA"
"34","New Jersey","34015","Gloucester","2013-2015","50.3","","Detected" (2),"NJ0818004","WASHINGTON TOWNSHIP MUA","48000","PFOS"
"34","New Jersey","34023","Middlesex","2013-2015","29.3","","Detected" (2),"NJ1225001","MIDDLESEX WATER COMPANY","233376","PFOA"
"34","New Jersey","34029","Ocean","2013-2015","22.5","","Detected" (2),"NJ1514002","LAKEWOOD TWP MUA","17400","PFOA"
"34","New Jersey","34029","Ocean","2013-2015","20.0","","Detected" (2),"NJ1525001","POINT PLEASANT BEACH WATER DEPARTMENT","12000","PFOA"
"34","New Jersey","34029","Ocean","2013-2015","24.5","","Detected" (2),"NJ1524001","POINT PLEASANT WATER DEPARTMENT","19600","PFOA"
"34","New Jersey","34031","Passaic","2013-2015","23.0","","Detected" (2),"NJ1604001","HAWTHORNE WATER DEPARTMENT","21006","PFOA"
"34","New Jersey","34039","Union","2013-2015","43.0","","Detected" (2),"NJ2004002","NJ AMERICAN WATER - RARITAN","609305","PFOS"
"34","New Jersey","34039","Union","2013-2015","54.0","","Detected" (2),"NJ2004002","NJ AMERICAN WATER - RARITAN","609305","PFOA"
"34","New Jersey","34039","Union","2013-2015","33.0","","Detected" (2),"NJ2013001","SUEZ WATER NEW JERSEY RAHWAY","27300","PFOA"
"36","New York","36045","Jefferson","2013-2015","40.0","","Detected" (2),"NY2212214","FORT DRUM","34000","PFOA"
"36","New York","36059","Nassau","2013-2015","48.0","","Detected" (2),"NY2900000","TOWN OF HEMPSTEAD WATER DEPARTMENT","110000","PFOA"
"36","New York","36071","Orange","2013-2015","140.0","","Detected" (2),"NY3503580","NEW WINDSOR CONSOLIDATED WD","30000","PFOS"
"36","New York","36071","Orange","2013-2015","21.5","","Detected" (2),"NY3503580","NEW WINDSOR CONSOLIDATED WD","30000","PFOA"
"36","New York","36071","Orange","2013-2015","170.0","","Detected" (2),"NY3503549","NEWBURGH CITY","28000","PFOS"
"36","New York","36103","Suffolk","2013-2015","82.0","","Detected" (2),"NY5103704","HAMPTON BAYS WD","12500","PFOS"
"36","New York","36103","Suffolk","2013-2015","530.0","","Detected" (2),"NY5110526","SUFFOLK COUNTY WATER AUTHORITY","1100000","PFOS"
"37","North Carolina","37051","Cumberland","2013-2015","21.0","","Detected" (2),"NC0326127","BROOKWOOD COMM WTR SYSTEM","15665","PFOA"
"37","North Carolina","37051","Cumberland","2013-2015","41.0","","Detected" (2),"NC0326332","CLIFFDALE WEST","15288","PFOS"
"37","North Carolina","37081","Guilford","2013-2015","90.0","","Detected" (2),"NC0241010","GREENSBORO, CITY OF","277080","PFOS"
"37","North Carolina","37085","Harnett","2013-2015","30.0","","Detected" (2),"NC0343010","DUNN, CITY OF","11747","PFOA"
"37","North Carolina","37085","Harnett","2013-2015","30.0","","Detected" (2),"NC0392055","FUQUAY-VARINA, TOWN OF","21725","PFOA"
"37","North Carolina","37085","Harnett","2013-2015","20.0","","Detected" (2),"NC0343045","HARNETT CO DEPT OF PUBLIC UTIL","90004","PFOA"
"37","North Carolina","37125","Moore","2013-2015","76.0","","Detected" (2),"NC0363108","MOORE CO PUBLIC UTIL-PINEHURST","19368","PFOS"
"37","North Carolina","37125","Moore","2013-2015","23.0","","Detected" (2),"NC0363108","MOORE CO PUBLIC UTIL-PINEHURST","19368","PFOA"
"37","North Carolina","37127","Nash","2013-2015","53.1","","Detected" (2),"NC0464020","NASHVILLE, TOWN OF","8800","PFOS"
"37","North Carolina","37135","Orange","2013-2015","30.0","","Detected" (2),"NC0368010","ORANGE WATER & SEWER AUTHORITY","83300","PFOA"
"37","North Carolina","37147","Pitt","2013-2015","50.0","","Detected" (2),"NC0474045","BELL ARTHUR WATER CORP","9850","PFOS"
"39","Ohio","39003","Allen","2013-2015","45.0","","Detected" (2),"OH0200811","Lima City Water","65619","PFOS"
"39","Ohio","39035","Cuyahoga","2013-2015","400.0","","Detected" (2),"OH1800403","City of Cleveland Heights","46000","PFOS"
"39","Ohio","39053","Gallia","2013-2015","20.4","","Detected" (2),"OH2700012","Gallia County Rural Water Association","20546","PFOA"
"39","Ohio","39057","Greene","2013-2015","54.2","","Detected" (2),"OH5701315","Montgomery County Water Services #1","164307","PFOS"
"39","Ohio","39057","Greene","2013-2015","61.0","","Detected" (2),"OH5701503","Montgomery County Water Services #2","96498","PFOS"
"39","Ohio","39057","Greene","2013-2015","210.0","","Detected" (2),"OH2903412","Wright-Patterson AFB Area A/C","16551","PFOS"
"39","Ohio","39057","Greene","2013-2015","25.0","","Detected" (2),"OH2903412","Wright-Patterson AFB Area A/C","16551","PFOA"
"39","Ohio","39099","Mahoning","2013-2015","27.0","","Detected" (2),"OH5001611","Aqua OH - Struthers","47000","PFOA"
"40","Oklahoma","40109","Oklahoma","2013-2015","40.0","","Detected" (2),"OK2005519","Bethany","20307","PFOA"
"42","Pennsylvania","42017","Bucks","2013-2015","26.0","","Detected" (2),"PA1090001","AQUA PA BRISTOL","28200","PFOA"
"42","Pennsylvania","42017","Bucks","2013-2015","206.1","","Detected" (2),"PA1090128","DTMA MAIN SYSTEM","8655","PFOA"
"42","Pennsylvania","42017","Bucks","2013-2015","1,090.0","","Detected" (2),"PA1090069","WARMINSTER MUNICIPAL AUTHORITY","40000","PFOS"
"42","Pennsylvania","42017","Bucks","2013-2015","349.0","","Detected" (2),"PA1090069","WARMINSTER MUNICIPAL AUTHORITY","40000","PFOA"
"42","Pennsylvania","42017","Bucks","2013-2015","666.7","","Detected" (2),"PA1090070","WARRINGTON TWP WATERandSEW DEPT","18400","PFOS"
"42","Pennsylvania","42017","Bucks","2013-2015","118.4","","Detected" (2),"PA1090070","WARRINGTON TWP WATERandSEW DEPT","18400","PFOA"
"42","Pennsylvania","42043","Dauphin","2013-2015","363.0","","Detected" (2),"PA7220015","SUEZ WATER","105649","PFOS"
"42","Pennsylvania","42043","Dauphin","2013-2015","38.0","","Detected" (2),"PA7220015","SUEZ WATER","105649","PFOA"
"42","Pennsylvania","42091","Montgomery","2013-2015","1,000.0","","Detected" (2),"PA1460033","HORSHAM WATERandSEWER AUTHORITY","25000","PFOS"
"42","Pennsylvania","42091","Montgomery","2013-2015","290.0","","Detected" (2),"PA1460033","HORSHAM WATERandSEWER AUTHORITY","25000","PFOA"
"44","Rhode Island","44007","Providence","2013-2015","81.0","","Detected" (2),"RI1647530","CUMBERLAND, TOWN OF","22864","PFOA"
"44","Rhode Island","44009","Washington","2013-2015","20.0","","Detected" (2),"RI1559512","WESTERLY WATER DEPARTMENT","38000","PFOA"
"45","South Carolina","45083","Spartanburg","2013-2015","24.0","","Detected" (2),"SC4220007","WOODRUFF ROEBUCK W/D (4220007)","25284","PFOA"
"47","Tennessee","47149","Rutherford","2013-2015","20.0","","Detected" (2),"TN0000791","Consolidated Utility District of Rutherf","143704","PFOA"
"48","Texas","48057","Calhoun","2013-2015","26.4","","Detected" (2),"TX0290002","City of Port Lavaca","12248","PFOA"
"48","Texas","48441","Taylor","2013-2015","46.2","","Detected" (2),"TX2210001","City of Abilene","116412","PFOS"
"51","Virginia","51191","Washington","2013-2015","22.2","","Detected" (2),"VA1191883","Washington County Service Authority","47574","PFOA"
"53","Washington","53033","King","2013-2015","600.0","","Detected" (2),"WA5336350","Issaquah Water System","24110","PFOS"
"53","Washington","53033","King","2013-2015","21.5","","Detected" (2),"WA5336350","Issaquah Water System","24110","PFOA"
"53","Washington","53053","Pierce","2013-2015","30.0","","Detected" (2),"WA5320500","City of Dupont Water System","11787","PFOA"
"53","Washington","53053","Pierce","2013-2015","51.1","","Detected" (2),"WA5326050","Fort Lewis Water - Cantonment","74559","PFOA"
"54","West Virginia","54003","Berkeley","2013-2015","86.1","","Detected" (2),"WV3300212","MARTINSBURG CITY OF","15650","PFOS"
"54","West Virginia","54107","Wood","2013-2015","63.1","","Detected" (2),"WV3305407","PARKERSBURG UTILITY BOARD","34251","PFOA"
"54","West Virginia","54107","Wood","2013-2015","129.0","","Detected" (2),"WV3305411","VIENNA","12507","PFOA"
"55","Wisconsin","55063","La Crosse","2013-2015","140.0","","Detected" (2),"WI6320309","LA CROSSE WATERWORKS","53000","PFOS"
"55","Wisconsin","55131","Washington","2013-2015","43.2","","Detected" (2),"WI2670120","WEST BEND WATERWORKS","31500","PFOA"
